cenario,periodo,ano,mes,h,share_n_pct,share_kw_pct,n_ongrid_scn,n_micro_scn,n_micro_flat,nowcast
conservative,2025-11,2025,11,-5,15.835,14.273,72760.0,11522.0,11027.0,True
conservative,2025-12,2025,12,-4,15.865,14.3,72124.0,11442.0,11047.0,True
conservative,2026-01,2026,1,-3,15.894,14.326,71493.0,11363.0,11068.0,True
conservative,2026-02,2026,2,-2,15.923,14.353,70868.0,11285.0,11088.0,True
conservative,2026-03,2026,3,-1,15.952,14.379,70249.0,11206.0,11108.0,True
conservative,2026-04,2026,4,0,15.981,14.405,69634.0,11128.0,11128.0,True
conservative,2026-05,2026,5,1,16.01,14.431,69026.0,11051.0,11148.0,False
conservative,2026-06,2026,6,2,16.038,14.457,68422.0,10974.0,11168.0,False
conservative,2026-07,2026,7,3,16.067,14.482,67824.0,10897.0,11188.0,False
conservative,2026-08,2026,8,4,16.095,14.508,67231.0,10821.0,11208.0,False
conservative,2026-09,2026,9,5,16.123,14.533,66644.0,10745.0,11227.0,False
conservative,2026-10,2026,10,6,16.151,14.558,66061.0,10670.0,11247.0,False
conservative,2026-11,2026,11,7,16.179,14.583,65484.0,10595.0,11266.0,False
conservative,2026-12,2026,12,8,16.207,14.608,64911.0,10520.0,11285.0,False
conservative,2027-01,2027,1,9,16.234,14.633,64344.0,10446.0,11304.0,False
conservative,2027-02,2027,2,10,16.261,14.657,63781.0,10372.0,11324.0,False
conservative,2027-03,2027,3,11,16.289,14.682,63224.0,10298.0,11342.0,False
conservative,2027-04,2027,4,12,16.316,14.706,62671.0,10225.0,11361.0,False
conservative,2027-05,2027,5,13,16.342,14.73,62123.0,10152.0,11380.0,False
conservative,2027-06,2027,6,14,16.369,14.755,61580.0,10080.0,11399.0,False
conservative,2027-07,2027,7,15,16.396,14.778,61042.0,10008.0,11417.0,False
conservative,2027-08,2027,8,16,16.422,14.802,60508.0,9937.0,11435.0,False
conservative,2027-09,2027,9,17,16.448,14.826,59979.0,9866.0,11454.0,False
conservative,2027-10,2027,10,18,16.474,14.849,59455.0,9795.0,11472.0,False
conservative,2027-11,2027,11,19,16.5,14.873,58935.0,9725.0,11490.0,False
conservative,2027-12,2027,12,20,16.526,14.896,58420.0,9655.0,11508.0,False
conservative,2028-01,2028,1,21,16.552,14.919,57909.0,9585.0,11526.0,False
conservative,2028-02,2028,2,22,16.577,14.942,57403.0,9516.0,11544.0,False
conservative,2028-03,2028,3,23,16.603,14.965,56901.0,9447.0,11561.0,False
conservative,2028-04,2028,4,24,16.628,14.988,56404.0,9379.0,11579.0,False
conservative,2028-05,2028,5,25,16.653,15.01,55911.0,9311.0,11596.0,False
conservative,2028-06,2028,6,26,16.678,15.033,55422.0,9243.0,11614.0,False
conservative,2028-07,2028,7,27,16.703,15.055,54938.0,9176.0,11631.0,False
conservative,2028-08,2028,8,28,16.727,15.077,54457.0,9109.0,11648.0,False
conservative,2028-09,2028,9,29,16.752,15.099,53981.0,9043.0,11665.0,False
conservative,2028-10,2028,10,30,16.776,15.121,53509.0,8977.0,11682.0,False
conservative,2028-11,2028,11,31,16.8,15.143,53042.0,8911.0,11699.0,False
conservative,2028-12,2028,12,32,16.824,15.165,52578.0,8846.0,11715.0,False
conservative,2029-01,2029,1,33,16.848,15.186,52118.0,8781.0,11732.0,False
conservative,2029-02,2029,2,34,16.872,15.208,51663.0,8716.0,11749.0,False
conservative,2029-03,2029,3,35,16.895,15.229,51211.0,8652.0,11765.0,False
conservative,2029-04,2029,4,36,16.919,15.25,50764.0,8589.0,11781.0,False
conservative,2029-05,2029,5,37,16.942,15.271,50320.0,8525.0,11798.0,False
conservative,2029-06,2029,6,38,16.965,15.292,49880.0,8462.0,11814.0,False
conservative,2029-07,2029,7,39,16.988,15.313,49444.0,8400.0,11830.0,False
base,2025-11,2025,11,-5,15.171,13.674,71139.0,10792.0,10564.0,True
base,2025-12,2025,12,-4,15.465,13.939,70835.0,10954.0,10769.0,True
base,2026-01,2026,1,-3,15.76,14.206,70533.0,11116.0,10975.0,True
base,2026-02,2026,2,-2,16.058,14.474,70232.0,11278.0,11182.0,True
base,2026-03,2026,3,-1,16.356,14.743,69933.0,11438.0,11390.0,True
base,2026-04,2026,4,0,16.656,15.013,69634.0,11599.0,11599.0,True
base,2026-05,2026,5,1,16.958,15.285,69337.0,11758.0,11808.0,False
base,2026-06,2026,6,2,17.26,15.558,69042.0,11917.0,12019.0,False
base,2026-07,2026,7,3,17.563,15.831,68747.0,12074.0,12230.0,False
base,2026-08,2026,8,4,17.867,16.105,68454.0,12231.0,12442.0,False
base,2026-09,2026,9,5,18.172,16.379,68162.0,12386.0,12654.0,False
base,2026-10,2026,10,6,18.477,16.654,67871.0,12540.0,12866.0,False
base,2026-11,2026,11,7,18.782,16.929,67582.0,12693.0,13079.0,False
base,2026-12,2026,12,8,19.087,17.204,67294.0,12844.0,13291.0,False
base,2027-01,2027,1,9,19.392,17.48,67007.0,12994.0,13504.0,False
base,2027-02,2027,2,10,19.698,17.755,66721.0,13142.0,13716.0,False
base,2027-03,2027,3,11,20.002,18.029,66436.0,13289.0,13928.0,False
base,2027-04,2027,4,12,20.306,18.304,66153.0,13433.0,14140.0,False
base,2027-05,2027,5,13,20.61,18.577,65871.0,13576.0,14352.0,False
base,2027-06,2027,6,14,20.913,18.85,65590.0,13717.0,14562.0,False
base,2027-07,2027,7,15,21.214,19.122,65310.0,13855.0,14773.0,False
base,2027-08,2027,8,16,21.515,19.393,65031.0,13992.0,14982.0,False
base,2027-09,2027,9,17,21.814,19.663,64754.0,14126.0,15190.0,False
base,2027-10,2027,10,18,22.112,19.931,64478.0,14258.0,15398.0,False
base,2027-11,2027,11,19,22.409,20.198,64203.0,14387.0,15604.0,False
base,2027-12,2027,12,20,22.703,20.464,63929.0,14514.0,15809.0,False
base,2028-01,2028,1,21,22.996,20.728,63656.0,14638.0,16013.0,False
base,2028-02,2028,2,22,23.287,20.99,63385.0,14760.0,16216.0,False
base,2028-03,2028,3,23,23.576,21.25,63114.0,14880.0,16417.0,False
base,2028-04,2028,4,24,23.862,21.508,62845.0,14996.0,16616.0,False
base,2028-05,2028,5,25,24.146,21.765,62577.0,15110.0,16814.0,False
base,2028-06,2028,6,26,24.428,22.019,62310.0,15221.0,17010.0,False
base,2028-07,2028,7,27,24.707,22.27,62044.0,15329.0,17205.0,False
base,2028-08,2028,8,28,24.984,22.519,61780.0,15435.0,17397.0,False
base,2028-09,2028,9,29,25.257,22.766,61516.0,15537.0,17588.0,False
base,2028-10,2028,10,30,25.528,23.01,61254.0,15637.0,17776.0,False
base,2028-11,2028,11,31,25.796,23.251,60993.0,15734.0,17963.0,False
base,2028-12,2028,12,32,26.06,23.49,60732.0,15827.0,18147.0,False
base,2029-01,2029,1,33,26.322,23.726,60473.0,15918.0,18329.0,False
base,2029-02,2029,2,34,26.58,23.959,60215.0,16006.0,18509.0,False
base,2029-03,2029,3,35,26.836,24.189,59959.0,16090.0,18687.0,False
base,2029-04,2029,4,36,27.087,24.416,59703.0,16172.0,18862.0,False
base,2029-05,2029,5,37,27.336,24.639,59448.0,16251.0,19035.0,False
base,2029-06,2029,6,38,27.58,24.86,59195.0,16326.0,19205.0,False
base,2029-07,2029,7,39,27.822,25.077,58942.0,16399.0,19374.0,False
accelerated,2025-11,2025,11,-5,14.818,13.356,69634.0,10318.0,10318.0,True
accelerated,2025-12,2025,12,-4,15.248,13.744,69634.0,10618.0,10618.0,True
accelerated,2026-01,2026,1,-3,15.687,14.139,69634.0,10923.0,10923.0,True
accelerated,2026-02,2026,2,-2,16.133,14.541,69634.0,11234.0,11234.0,True
accelerated,2026-03,2026,3,-1,16.586,14.95,69634.0,11549.0,11549.0,True
accelerated,2026-04,2026,4,0,17.046,15.365,69634.0,11870.0,11870.0,True
accelerated,2026-05,2026,5,1,17.514,15.786,69634.0,12195.0,12195.0,False
accelerated,2026-06,2026,6,2,17.988,16.213,69634.0,12526.0,12526.0,False
accelerated,2026-07,2026,7,3,18.468,16.647,69634.0,12860.0,12860.0,False
accelerated,2026-08,2026,8,4,18.955,17.085,69634.0,13199.0,13199.0,False
accelerated,2026-09,2026,9,5,19.448,17.53,69634.0,13542.0,13542.0,False
accelerated,2026-10,2026,10,6,19.946,17.979,69634.0,13890.0,13890.0,False
accelerated,2026-11,2026,11,7,20.45,18.433,69634.0,14240.0,14240.0,False
accelerated,2026-12,2026,12,8,20.959,18.892,69634.0,14595.0,14595.0,False
accelerated,2027-01,2027,1,9,21.473,19.355,69634.0,14953.0,14953.0,False
accelerated,2027-02,2027,2,10,21.992,19.823,69634.0,15314.0,15314.0,False
accelerated,2027-03,2027,3,11,22.514,20.293,69634.0,15678.0,15678.0,False
accelerated,2027-04,2027,4,12,23.04,20.768,69634.0,16044.0,16044.0,False
accelerated,2027-05,2027,5,13,23.57,21.245,69634.0,16413.0,16413.0,False
accelerated,2027-06,2027,6,14,24.103,21.725,69634.0,16784.0,16784.0,False
accelerated,2027-07,2027,7,15,24.638,22.208,69634.0,17156.0,17156.0,False
accelerated,2027-08,2027,8,16,25.175,22.692,69634.0,17531.0,17531.0,False
accelerated,2027-09,2027,9,17,25.714,23.178,69634.0,17906.0,17906.0,False
accelerated,2027-10,2027,10,18,26.255,23.665,69634.0,18282.0,18282.0,False
accelerated,2027-11,2027,11,19,26.796,24.153,69634.0,18659.0,18659.0,False
accelerated,2027-12,2027,12,20,27.338,24.642,69634.0,19037.0,19037.0,False
accelerated,2028-01,2028,1,21,27.881,25.131,69634.0,19415.0,19415.0,False
accelerated,2028-02,2028,2,22,28.423,25.619,69634.0,19792.0,19792.0,False
accelerated,2028-03,2028,3,23,28.964,26.107,69634.0,20169.0,20169.0,False
accelerated,2028-04,2028,4,24,29.504,26.594,69634.0,20545.0,20545.0,False
accelerated,2028-05,2028,5,25,30.042,27.079,69634.0,20920.0,20920.0,False
accelerated,2028-06,2028,6,26,30.579,27.563,69634.0,21293.0,21293.0,False
accelerated,2028-07,2028,7,27,31.113,28.044,69634.0,21665.0,21665.0,False
accelerated,2028-08,2028,8,28,31.644,28.523,69634.0,22035.0,22035.0,False
accelerated,2028-09,2028,9,29,32.173,28.999,69634.0,22403.0,22403.0,False
accelerated,2028-10,2028,10,30,32.697,29.472,69634.0,22769.0,22769.0,False
accelerated,2028-11,2028,11,31,33.218,29.942,69634.0,23131.0,23131.0,False
accelerated,2028-12,2028,12,32,33.735,30.407,69634.0,23491.0,23491.0,False
accelerated,2029-01,2029,1,33,34.247,30.869,69634.0,23848.0,23848.0,False
accelerated,2029-02,2029,2,34,34.754,31.326,69634.0,24201.0,24201.0,False
accelerated,2029-03,2029,3,35,35.256,31.778,69634.0,24550.0,24550.0,False
accelerated,2029-04,2029,4,36,35.752,32.226,69634.0,24896.0,24896.0,False
accelerated,2029-05,2029,5,37,36.242,32.668,69634.0,25237.0,25237.0,False
accelerated,2029-06,2029,6,38,36.727,33.104,69634.0,25574.0,25574.0,False
accelerated,2029-07,2029,7,39,37.205,33.535,69634.0,25907.0,25907.0,False
