marca,n,kw,share_n_pct,share_kw_pct,rank
DEYE,46233,244565.3600,29.9522,31.0636,1
HOYMILES,30406,151058.5800,19.6986,19.1868,2
SAJ,15581,79258.3000,10.0942,10.0670,3
GROWATT,13385,66897.1700,8.6715,8.4970,4
TSUN,10717,54659.3800,6.9430,6.9426,5
NEP,8186,41742.9200,5.3033,5.3020,6
WEG,6151,29711.5900,3.9849,3.7738,7
FOXESS,6034,34238.2300,3.9091,4.3488,8
APSYSTEMS,4632,22604.6800,3.0009,2.8711,9
INTELBRAS,3616,18584.5300,2.3426,2.3605,10
HYXIPOWER,2786,14208.3300,1.8049,1.8047,11
ENPHASE,2132,7748.1400,1.3812,0.9841,12
SOLAX,2065,10196.7500,1.3378,1.2951,13
GOODWE,1112,5115.2700,0.7204,0.6497,14
SUNGROW,681,3739.1600,0.4412,0.4749,15
ELGIN,387,1851.1300,0.2507,0.2351,16
RENOVIGI,215,934.3900,0.1393,0.1187,17
KOMECO,27,149.3600,0.0175,0.0190,18
SOLPLANET,8,32.7800,0.0052,0.0042,19
HYPONTECH,1,6.0000,0.0006,0.0008,20
SOLIS,1,4.0000,0.0006,0.0005,21
