mes,n_micro,n_hybrid,n_string,n_unknown,n_module,kw_micro,kw_hybrid,kw_string,kw_unknown,kw_module,n_total,kw_total,n_ongrid,kw_ongrid,share_n_pct,share_kw_pct,share_n_classified_pct,share_kw_classified_pct,n_lt10_total,kw_lt10_total,n_lt10_micro,kw_lt10_micro,share_n_lt10_incl_hyb_pct,share_kw_lt10_incl_hyb_pct,share_n_pct_mm3,share_kw_pct_mm3,ratio_vs_trailing3,provisional
2018-01,137,0,1172,184,0,283.9600,0.0000,5057.7600,726.4700,0.0000,1493,6068.1900,1493,6068.1900,9.1762,4.6795,10.4660,5.3159,1457,5708.1900,137,283.9600,9.4029,4.9746,,,,False
2018-02,88,0,1007,183,1,226.2100,0.0000,4354.9500,700.9200,9.0000,1279,5291.0800,1279,5291.0800,6.8804,4.2753,8.0365,4.9378,1244,4941.0800,88,226.2100,7.0740,4.5781,,,,False
2018-03,122,0,1322,245,0,299.1300,0.0000,5806.2000,1013.1200,0.0000,1689,7118.4500,1689,7118.4500,7.2232,4.2022,8.4488,4.8995,1648,6708.4500,122,299.1300,7.4029,4.4590,7.7785,4.3799,,False
2018-04,101,0,1244,223,0,279.7100,0.0000,5606.8300,940.3500,0.0000,1568,6826.8900,1568,6826.8900,6.4413,4.0972,7.5093,4.7517,1518,6326.8900,100,269.7100,6.5876,4.2629,6.8563,4.1850,1.0545,False
2018-05,132,0,1400,253,0,328.8400,0.0000,6358.2400,1058.4600,0.0000,1785,7745.5400,1785,7745.5400,7.3950,4.2455,8.6162,4.9175,1726,7155.5400,131,318.8400,7.5898,4.4558,7.0409,4.1846,1.1806,False
2018-06,159,0,1446,268,0,440.3300,0.0000,6519.9500,1130.8000,0.0000,1873,8091.0800,1873,8091.0800,8.4891,5.4422,9.9065,6.3263,1809,7451.0800,159,440.3300,8.7894,5.9096,7.5010,4.6281,1.1144,False
2018-07,152,0,1507,308,0,450.2300,0.0000,6912.5600,1297.1100,0.0000,1967,8659.9000,1967,8659.9000,7.7275,5.1990,9.1621,6.1149,1906,8049.9000,151,440.2300,7.9224,5.4688,7.8756,4.9778,1.1292,False
2018-08,198,1,1886,346,0,515.6200,8.0000,8719.0900,1265.4900,0.0000,2431,10508.2000,2430,10500.2000,8.1481,4.9106,9.5010,5.5835,2355,9748.2000,197,505.6200,8.3652,5.1868,8.1180,5.1601,1.2960,False
2018-09,200,0,1843,387,0,498.2800,0.0000,8365.6100,1441.7700,0.0000,2430,10305.6600,2430,10305.6600,8.2305,4.8350,9.7895,5.6215,2359,9595.6600,200,498.2800,8.4782,5.1928,8.0562,4.9689,1.1627,False
2018-10,268,0,2494,439,0,754.5000,0.0000,11415.7600,1712.5200,0.0000,3201,13882.7800,3201,13882.7800,8.3724,5.4348,9.7031,6.1995,3105,12922.7800,265,724.5000,8.5346,5.6064,8.2620,5.0979,1.4066,False
2018-11,306,0,2739,484,0,891.4500,0.0000,13416.8600,1927.8100,0.0000,3529,16236.1200,3529,16236.1200,8.6710,5.4905,10.0493,6.2303,3276,13706.1200,303,861.4500,9.2491,6.2851,8.4498,5.3043,1.3134,False
2018-12,330,0,2911,465,0,904.2500,0.0000,15367.5200,1803.9300,0.0000,3706,18075.7000,3706,18075.7000,8.9045,5.0026,10.1820,5.5572,3313,14145.7000,329,894.2500,9.9306,6.3217,8.6623,5.2915,1.2138,False
2019-01,379,0,3340,634,1,1239.3900,0.0000,15912.7100,2518.1300,3.6000,4354,19673.8300,4354,19673.8300,8.7046,6.2997,10.1909,7.2259,4207,18203.8300,375,1199.3900,8.9137,6.5887,8.7583,5.6220,1.2516,False
2019-02,384,0,3507,597,1,1119.8500,0.0000,16676.0900,2564.0800,5.0000,4489,20365.0200,4489,20365.0200,8.5542,5.4989,9.8689,6.2927,4325,18725.0200,381,1089.8500,8.8092,5.8203,8.7099,5.6156,1.1621,False
2019-03,338,0,3702,601,0,965.7100,0.0000,17709.1800,2489.9200,0.0000,4641,21164.8100,4641,21164.8100,7.2829,4.5628,8.3663,5.1712,4472,19474.8100,336,945.7100,7.5134,4.8561,8.1652,5.4326,1.1095,False
